What I'm Reading,Author,Link,Summary
Abundance,Ezra Klein & Derek Thompson,https://www.goodreads.com/en/book/show/176444106-abundance,"Process is not, in and of itself, a goal. It must be in service of producing an Abundance of the things we want"
Thing Explainer,Randall Munroe,https://www.goodreads.com/book/show/25329850-thing-explainer,Communicating complex ideas does not always require big words. Jargon can be an unnecessary gate-keepr of understanding
Ghost Roads,Andrew Townsend,https://wwnorton.com/books/9781324001522,Cities were built with the implicit assumption that all vehicles require a human in the driver seat. Changing that assumption will alter transportation operations and then the land-use and economics which are built on top
Siren's Call,Chris Hayes,https://www.goodreads.com/book/show/217869789-the-sirens-call?,Social media and recommendation algorithms exist to commodify your attention and extract it from you one second at a time with little regard for the value you receive in return.
Algo Speak,Adam Aleksic,https://www.goodreads.com/book/show/220458608-algospeak?,Social media and recommendation algorithms have had interesting impacts on language which can be viewed as an acceleration of centuries of change in language 
Power Broker,Robert Caro,https://www.goodreads.com/book/show/1111.The_Power_Broker?,Robert Moses accumlated more power in New York City than any unelected invididaul in US History. He started off seeking to improve the delivery of government projects and services but the lack of accountability meant that eventually he simply did what he wanted often times at the expense of others.
Driverless Digest,Harry Campbell,https://www.thedriverlessdigest.com/,"The intersection of autonomy and rideshare, and the business of AVs - everything from industry shake-ups and regulatory moves to cutting-edge developments and real-world impact"
Curbivore,Jonah Bliss,https://www.thecurbivore.com/,"Insights into the most important developments driving the curbside revolution. Commerce is moving to the curb at an ever-accelerating rate, and the new normal relies on delivery & pickup, and on retrofitting curbs, sidewalks, & disused real estate into civic spaces that work to serve everyone"
Changing Lanes,Andrew Miller,https://www.changinglanesnewsletter.com/,"How innovations in transportation and AI will shape the future of mobility, cities, and the world"
,,,
What Im Listening To/Watching,Host(s),Link,Summary
Hard Fork,Casey Newton & Kevin Roose,https://www.youtube.com/@hardfork,"Headline tech news of the week including AI, social media, and the Tech Giants. Unsurprisingly, there tends to be overlap between their coverage and Tech Gumbo"
Decoder,Nilay Patel,https://www.youtube.com/@DecoderPod,"Interviews with Tech Executives which ask company specific questions about process, decision-making, and culture"
Plain English,Derek Thompson,https://www.youtube.com/@PlainEnglishwithDerekThompson,Impressive clarity and insight which elevates an understanding of the important topics in modern life
Ezra Klein Show,Ezra Klein,https://www.youtube.com/@EzraKleinShow,"A well-researched, well-reasoned, and policy-oriented view of the world"
Pablo Torre Finds Out,Pablo Torre,https://www.youtube.com/@PabloTorreFindsOut,"Sports as a lens to understand politics, economics, and society at large"
Mina Kimes Show,Mina Kimes,https://www.youtube.com/@minakimes,The best football analytics nerd in the business is also fun to listen to
